id,codigo,adegas,nome,produtor,tipo,uva,pais,regiao,safra,alcool,docura,corpo,taninos,acidez,gelavel,temperatura,harmonizacao,queijos,descricao,combina_se_voce_gosta,foto
"por-mi-vieja","7798370260676","ecopark-iv","Por Mi Vieja","Salvador Patti","Tinto","Malbec","Argentina","Luján de Cuyo","—",13.5,1,4,3,2,"","16–18 °C","Churrasco, carnes vermelhas, hambúrguer, massas encorpadas.","Queijos curados: parmesão, gouda envelhecido.","Malbec argentino encorpado e frutado (ameixa, amora), macio e cheio de sabor. O tinto coringa para acompanhar carne.","de tinto encorpado para acompanhar carne.",""
"crotta-malbec-reserva","1063","ecopark-iv","Crotta Malbec Reserva","Familia Crotta","Tinto","Malbec","Argentina","Mendoza","—",14,0,4,4,2,"","16–18 °C","Churrasco, costela, carnes grelhadas, cordeiro.","Queijos curados: parmesão, gouda.","Malbec reserva argentino encorpado e estruturado, com fruta madura e boa persistência. Feito para carne vermelha.","de tinto encorpado e marcante para churrasco.","fotos/crotta-malbec-reserva.jpg"
"peccato-cabernet","01022","ecopark-iv","Peccato di Vino Cabernet Sauvignon","Bodegas Aguirre","Tinto","Cabernet Sauvignon","Chile","Valle Central","—",12.5,0,4,4,3,"","16–18 °C","Carnes vermelhas, hambúrguer, massas com molho encorpado.","Queijos fortes: provolone, gorgonzola.","Cabernet chileno encorpado, com fruta escura e um leve toque de pimentão. Estruturado e cheio de sabor.","de tinto encorpado e marcante.","fotos/peccato-cabernet.webp"
"rei-dom-joao-douro","001002","ecopark-iv","Rei D. João IV DOC Douro","Caves Campelo","Tinto","Touriga Nacional · Touriga Franca · Tinta Roriz","Portugal","Douro","—",13.5,0,4,4,3,"","16–18 °C","Carnes assadas, cordeiro, bacalhau, feijoada.","Queijos curados e intensos.","Tinto português do Douro, encorpado e elegante, com fruta escura e taninos firmes. Um clássico gastronômico.","de tinto português estruturado e sério.",""
"cantarinha-tinto","5601356025942","ecopark-iv","Cantarinha Tinto Meio Seco","Adega de Redondo","Tinto","Aragonez · Trincadeira","Portugal","Alentejo","—",12.5,2,3,2,3,"","16–18 °C","Petiscos, carnes assadas, pratos do dia a dia.","Queijos meios-curados.","Tinto português meio-seco: macio, com um leve toque adocicado que agrada quem está começando. Fácil e versátil.","de tinto suave, macio e sem amargor.",""
"peccato-sauvignon-blanc","00974","ecopark-iv","Peccato di Vino Sauvignon Blanc","Bodegas Aguirre","Branco","Sauvignon Blanc","Chile","Valle Central","—",12.5,0,2,0,5,"sim","7–9 °C (bem gelado)","Frutos do mar, ceviche, saladas, comida leve.","Queijo de cabra, ricota, minas frescal.","Branco chileno bem seco e cítrico, com acidez refrescante (limão, maracujá). Super gelado, é puro frescor.","de bebida gelada, cítrica e refrescante.",""
"peccato-chardonnay","1059","ecopark-iv","Peccato di Vino Chardonnay Seco","Bodegas Aguirre","Branco","Chardonnay","Chile","Valle Central","—",13,0,3,0,3,"sim","8–10 °C (bem gelado)","Peixes, camarão, frango cremoso, massas.","Queijos amanteigados, brie, gruyère.","Chardonnay chileno seco, mais encorpado e cremoso, com fruta madura. Cheio de sabor, ótimo bem gelado.","de branco seco mais encorpado e cremoso.","fotos/peccato-chardonnay.webp"
"tres-medallas-branco","00562","ecopark-iv","Tres Medallas Branco","Santa Rita","Branco","Sauvignon Blanc","Chile","Valle Central","—",12.5,1,2,0,4,"sim","8–10 °C (bem gelado)","Peixes, frango, saladas, frutos do mar.","Queijos frescos e suaves.","Branco chileno fresco e equilibrado, leve e agradável. Vai muito bem gelado com pratos leves.","de branco leve e fresco.","fotos/tres-medallas-branco.png"
"castillo-utrera-branco","8410261373201","ecopark-iv","Castillo de Utrera Branco","Bodegas Ayuso","Branco","Airén","Espanha","—","—",11.5,1,2,0,3,"sim","8–10 °C (bem gelado)","Petiscos, saladas, peixes grelhados, frango.","Queijos frescos e leves.","Branco espanhol leve e fácil de beber, fresco e descomplicado. Ótimo para o dia a dia, bem gelado no calor.","de um branco leve, gelado e sem complicação.","fotos/castillo-utrera-branco.jpg"
"crotta-chenin-ugni","00056","ecopark-iv","Crotta Chenin Ugni Blanc","Familia Crotta","Branco","Chenin Blanc · Ugni Blanc","Argentina","Mendoza","—",12,1,2,0,4,"sim","8–10 °C (bem gelado)","Peixes, frango, saladas, petiscos.","Queijos frescos e leves.","Branco argentino leve e fresco, com boa acidez e notas cítricas e florais. Descomplicado e gostoso bem gelado.","de branco leve, fresco e fácil.","fotos/crotta-chenin-ugni.jpg"
